序号,标题,URL,视频ID,类型,关键词,获取时间
3,“朝鲜民主主义人民共和国万岁；金正恩同志万岁”原视频#金正恩 #朝鲜,https://www.youtube.com/watch?v=WmURZjYg14Q&pp=ygUJ6YeR5bCG5Yab,WmURZjYg14Q,watch,金将军,2025-08-18 18:19:10
4,"陪同哥哥訪中國的金與正 看到""歐巴""習近平 嬌羞鞠躬 笑不停｜記者 張心衡｜【國際局勢。先知道】20180512｜三立iNEWS",https://www.youtube.com/watch?v=VNfNDcYYvY0&pp=ygUJ6YeR5bCG5Yab,VNfNDcYYvY0,watch,金将军,2025-08-18 18:19:10
5,朝鮮人民都發自內心的崇拜金將軍嗎？朝鮮秘史,https://www.youtube.com/watch?v=LXy4y0B4NsI&pp=ygUJ6YeR5bCG5Yab,LXy4y0B4NsI,watch,金将军,2025-08-18 18:19:10
6,北朝鲜平壤街头实拍,https://www.youtube.com/shorts/mbIfNb1wm9s,mbIfNb1wm9s,shorts,金将军,2025-08-18 18:19:10
7,金正日的最後一天 | 北韓獨裁大戲總導演，金家“二號太陽”為何短命？御用歡喜組、酒池肉林、同室操戈的真實內幕…,https://www.youtube.com/watch?v=ydutMBhMA4Y&pp=ygUJ6YeR5bCG5Yab0gcJCa0JAYcqIYzv,ydutMBhMA4Y,watch,金将军,2025-08-18 18:19:10
8,为什么金正恩押宝俄罗斯，跟中国撕破脸 | 朝鲜(2),https://www.youtube.com/watch?v=le1IXDmE6vE&pp=ygUJ6YeR5bCG5Yab,le1IXDmE6vE,watch,金将军,2025-08-18 18:19:10
9,《金银错》未播先火！李昀锐王楚然 BE 美学 CP 引爆热搜,https://www.youtube.com/watch?v=C68q6cIkxmU&pp=ygUJ6YeR5bCG5Yab,C68q6cIkxmU,watch,金将军,2025-08-18 18:19:10
10,【习近平步入金砖会场 翻译被拦在门外 习近平频回头 十分不安】 #习近平#金砖 #翻译,https://www.youtube.com/shorts/3viSN6NL1r8,3viSN6NL1r8,shorts,金将军,2025-08-18 18:19:10
11,【K-POP】金大將軍的攻擊 北韓軍歌 攻擊戰 북한  공격전이다,https://www.youtube.com/watch?v=dYWVqhBWN-E&list=RDdYWVqhBWN-E&start_radio=1&pp=ygUJ6YeR5bCG5YaboAcB,dYWVqhBWN-E,watch,金将军,2025-08-18 18:19:10
12,金将军的恩情迈巴赫！金正恩的邁巴赫 ！,https://www.youtube.com/watch?v=jEQKZYAlRpI&pp=ygUJ6YeR5bCG5Yab,jEQKZYAlRpI,watch,金将军,2025-08-18 18:19:10
13,北韓最可怕的10張禁止照片！每一張都不能發佈網絡，第一名金正恩想要立刻刪除。|#世界之最top #世界之最 #出類拔萃 #腦洞大開 #top10 #北韓禁止照片 #金正恩,https://www.youtube.com/watch?v=9pT3C1r2GXQ&pp=ygUJ6YeR5bCG5Yab,9pT3C1r2GXQ,watch,金将军,2025-08-18 18:19:10
14,朝鮮歌曲《親切的父親》（附翻譯與韓漢文字幕）조선 노래 친근한 어버이 🇰🇵🎤🎵🎶🎼,https://www.youtube.com/watch?v=hQjkcgMBLhM&list=RDhQjkcgMBLhM&start_radio=1&pp=ygUJ6YeR5bCG5YaboAcB,hQjkcgMBLhM,watch,金将军,2025-08-18 18:19:10
15,【北朝鲜史】 三代“太阳”的升起：金氏家族如何统治整个国家？,https://www.youtube.com/watch?v=uUx462vo-Mw&pp=ygUJ6YeR5bCG5Yab,uUx462vo-Mw,watch,金将军,2025-08-18 18:19:10
16,[ENG SUB] 朝鲜“新星女将军”  金正恩爱女的使命 Kim Jong Un’s Daughter set to be North Korea’s Next Leader?  | 世界大解说,https://www.youtube.com/watch?v=g_rn5Behgek&pp=ygUJ6YeR5bCG5Yab,g_rn5Behgek,watch,金将军,2025-08-18 18:19:10
17,2011年，朝鲜金将军葬礼，数十万百姓痛哭流涕，场面催人泪下 #珍贵影像 #朝鲜 #历史,https://www.youtube.com/watch?v=2TaT3G-2D3Y&pp=ygUJ6YeR5bCG5Yab0gcJCa0JAYcqIYzv,2TaT3G-2D3Y,watch,金将军,2025-08-18 18:19:10
18,金正恩同志和激动的士兵合影。年轻时候的金将军好可爱啊！据太永浩：在朝鲜，与金氏家族的合影，具有免罪符的作用。,https://www.youtube.com/shorts/65V3PL_NX3k,65V3PL_NX3k,shorts,金将军,2025-08-18 18:19:10
19,太搞笑了，朝鮮金將軍徹底生氣了，朝韓衝突的原因竟然是這個......哈哈哈,https://www.youtube.com/watch?v=UBLEOQt2TNA&pp=ygUJ6YeR5bCG5Yab,UBLEOQt2TNA,watch,金将军,2025-08-18 18:19:10
20,朝鮮突稱年幼小公主金主愛為「女將軍」，金家提前啟動第四代接班模式；金正恩健康堪憂，「金三」過後恐陷三女爭權的女王時代。朝鮮世襲制暴露共產專制復辟原形|#金主愛 #金正恩 #朝鮮 |【#人物真相】,https://www.youtube.com/watch?v=g8rAlecCVHg&pp=ygUJ6YeR5bCG5Yab,g8rAlecCVHg,watch,金将军,2025-08-18 18:19:10
1,地表最强80后金正恩，年仅27岁就接管一个国家,https://www.youtube.com/watch?v=JUFM0sH_JE0&pp=ygUL5pyA5by6ODDlkI4%3D,JUFM0sH_JE0,watch,最强80后,2025-08-18 18:19:52
2,地表最强80后-金正恩。 #人物故事  #纪录片 #解密  #历史故事,https://www.youtube.com/watch?v=SvpNTo8gjAU&pp=ygUL5pyA5by6ODDlkI4%3D,SvpNTo8gjAU,watch,最强80后,2025-08-18 18:19:52
3,地表最强80后 金正恩。 #人物故事  #纪录片 #解密  #历史故事,https://www.youtube.com/watch?v=7zIYQJAy9yk&pp=ygUL5pyA5by6ODDlkI7SBwkJrQkBhyohjO8%3D,7zIYQJAy9yk,watch,最强80后,2025-08-18 18:19:52
4,金正恩地表最强80后，让世界疼痛的独裁者，恐怖的手段，奢靡的生活，无数后宫，巨额财富，和个人癖好。,https://www.youtube.com/watch?v=bNmquckLCRo&pp=ygUL5pyA5by6ODDlkI4%3D,bNmquckLCRo,watch,最强80后,2025-08-18 18:19:52
5,最强80后,https://www.youtube.com/watch?v=jymOGkymL9o&pp=ygUL5pyA5by6ODDlkI4%3D,jymOGkymL9o,watch,最强80后,2025-08-18 18:19:52
6,"【18:10開播】盧昌為823再合體!萊爾校長番外篇紅熊沒上車!零日攻擊""導演拿2872萬就安基金!陶晶瑩.小S.蔡康永遭綠出征!陳佩琪要去天安門!川普突發謎樣貼文【國民大會完整版】｜20250818",https://www.youtube.com/watch?v=fMEaYNQ3Bus&pp=ygUL5pyA5by6ODDlkI4%3D,fMEaYNQ3Bus,watch,最强80后,2025-08-18 18:19:52
7,【政坛十二钗】中国现任12位女性正部级高官，谁会在2027年中共二十一大更上一层楼？最有竞争力的前三甲是谁？分别有哪些派系和山头？当年中共“夫人政治”首先从政治局开始；唯一女性正国级是谁？,https://www.youtube.com/watch?v=ySyM2eEUqZM&pp=ygUL5pyA5by6ODDlkI4%3D,ySyM2eEUqZM,watch,最强80后,2025-08-18 18:19:52
8,爲何主動辭職，觸碰了誰的利益｜中共最有良心的好官—汪洋｜廣東地區的良心改革家｜他都做了什麼政績,https://www.youtube.com/watch?v=baZmhm_vFzc&pp=ygUL5pyA5by6ODDlkI4%3D,baZmhm_vFzc,watch,最强80后,2025-08-18 18:19:52
9,中美实力逆转！18马赫导弹逼急川普，3年决战开始,https://www.youtube.com/watch?v=rRWypy6L3PQ&pp=ygUL5pyA5by6ODDlkI7SBwkJrQkBhyohjO8%3D,rRWypy6L3PQ,watch,最强80后,2025-08-18 18:19:52
10,我看谁没有鼓掌#最强80后 #最强80后霸气出场,https://www.youtube.com/shorts/neIcu8pdqGw,neIcu8pdqGw,shorts,最强80后,2025-08-18 18:19:52
11,最强80后 金正恩,https://www.youtube.com/watch?v=ONyoek2feCQ&pp=ygUL5pyA5by6ODDlkI4%3D,ONyoek2feCQ,watch,最强80后,2025-08-18 18:19:52
12,9月1日“社保新规”来了！公司会裁人避责吗！中小企业与80后中年上班族危了！,https://www.youtube.com/watch?v=tPQeAhiZFCc&t=592s&pp=ygUL5pyA5by6ODDlkI4%3D,tPQeAhiZFCc,watch,最强80后,2025-08-18 18:19:52
13,#朝鲜 #金正恩 #地表最强80后,https://www.youtube.com/shorts/e8k87DrZocw,e8k87DrZocw,shorts,最强80后,2025-08-18 18:19:52
14,#最强80后 #地表最强80后 #朝鲜 #KimJongUn #地表最强,https://www.youtube.com/watch?v=2DOL-HLcJ7g&pp=ygUL5pyA5by6ODDlkI4%3D,2DOL-HLcJ7g,watch,最强80后,2025-08-18 18:19:52
15,最强80后金正恩，如何稳定朝鲜大局？在位期间做了哪些贡献？,https://www.youtube.com/watch?v=JtnIxR5hXP0&pp=ygUL5pyA5by6ODDlkI4%3D,JtnIxR5hXP0,watch,最强80后,2025-08-18 18:19:52
16,最强80后与最强50后,https://www.youtube.com/watch?v=eovYI_nFIws&pp=ygUL5pyA5by6ODDlkI4%3D,eovYI_nFIws,watch,最强80后,2025-08-18 18:19:52
17,地表最强的80后！ 朝鲜 金将军,https://www.youtube.com/watch?v=Me772XfPU20&pp=ygUL5pyA5by6ODDlkI4%3D,Me772XfPU20,watch,最强80后,2025-08-18 18:19:52
18,世界“最强80后”金正恩，能否带领朝鲜走向新未来？,https://www.youtube.com/watch?v=Skz_mjefCv0&pp=ygUL5pyA5by6ODDlkI4%3D,Skz_mjefCv0,watch,最强80后,2025-08-18 18:19:52
19,全球最强80后，金正恩执政12年，朝鲜发生了哪些变化？,https://www.youtube.com/watch?v=e2goci_zIms&pp=ygUL5pyA5by6ODDlkI4%3D,e2goci_zIms,watch,最强80后,2025-08-18 18:19:52
20,金正恩竟是最厉害的80后？揭秘朝鲜第三代领导人的神秘面纱！,https://www.youtube.com/watch?v=zLDx2sHp1Yw&pp=ygUL5pyA5by6ODDlkI4%3D,zLDx2sHp1Yw,watch,最强80后,2025-08-18 18:19:52
21,他是地球最强80后，我们都低估了他！,https://www.youtube.com/watch?v=fOiC-nIjH5Q&pp=ygUL5pyA5by6ODDlkI4%3D,fOiC-nIjH5Q,watch,最强80后,2025-08-18 18:19:52
22,拆解朝鲜的单兵口粮，地表最强80后，对手底下的兄弟们到底如何呢？#综艺 #解说 #解說,https://www.youtube.com/shorts/qFg27G5Ok3o,qFg27G5Ok3o,shorts,最强80后,2025-08-18 18:19:52
23,九哥解读地表最强80后,https://www.youtube.com/watch?v=B_8Ws75iIWI&pp=ygUL5pyA5by6ODDlkI7SBwkJrQkBhyohjO8%3D,B_8Ws75iIWI,watch,最强80后,2025-08-18 18:19:52
24,最强80后是谁。#沙雕动画 #二次元 #搞笑#内容启发搜索 #地球村,https://www.youtube.com/watch?v=jJ70M1EiPSE&pp=ygUL5pyA5by6ODDlkI4%3D,jJ70M1EiPSE,watch,最强80后,2025-08-18 18:19:52
1,向希特勒致敬？　馬斯克疑似行「納粹禮」惹議｜#鏡新聞,https://www.youtube.com/watch?v=ZpJBA6z-5tY&pp=ygUJ57qz57K556S8,ZpJBA6z-5tY,watch,纳粹礼,2025-08-18 18:20:34
2,川普就職疑行納粹禮　馬斯克手勢惹怒歐洲人｜#shorts #鏡新聞,https://www.youtube.com/shorts/HH9eaXY6D7c,HH9eaXY6D7c,shorts,纳粹礼,2025-08-18 18:20:34
3,不一樣的納粹敬禮照 竟藏悽慘故事│郝廣才在中視20160613,https://www.youtube.com/watch?v=qK2eqz4FJiw&pp=ygUJ57qz57K556S8,qK2eqz4FJiw,watch,纳粹礼,2025-08-18 18:20:34
4,20170111中天新聞　惡性不改　挪威殺人魔又行納粹禮,https://www.youtube.com/watch?v=MjC6B6sE8gA&pp=ygUJ57qz57K556S80gcJCa0JAYcqIYzv,MjC6B6sE8gA,watch,纳粹礼,2025-08-18 18:20:34
5,马斯克欢呼效率部上火星 致敬手势似纳粹礼惹议【2025.01.21 八度空间午间新闻】,https://www.youtube.com/watch?v=sXayiyIaitA&pp=ygUJ57qz57K556S8,sXayiyIaitA,watch,纳粹礼,2025-08-18 18:20:34
6,马斯克行纳粹礼了？！美国人到底怎么看？（西方网友崩溃了）,https://www.youtube.com/watch?v=qOjrK_djJSk&pp=ygUJ57qz57K556S8,qOjrK_djJSk,watch,纳粹礼,2025-08-18 18:20:34
7,克國歌手演唱會逾50萬人創紀錄　疑「行納粹禮」惹議｜#鏡新聞,https://www.youtube.com/watch?v=qMaZII8NPgw&pp=ygUJ57qz57K556S8,qMaZII8NPgw,watch,纳粹礼,2025-08-18 18:20:34
8,國民黨罷免領銜人宋建樑行納粹禮鬧上國際　蔣萬安表態喊：絕不認同｜#shorts #鏡新聞,https://www.youtube.com/shorts/D2JZUe5ydds,D2JZUe5ydds,shorts,纳粹礼,2025-08-18 18:20:34
9,为什么二战的德军有两种敬礼方式？#二战电影,https://www.youtube.com/shorts/ACGVke3tSNA,ACGVke3tSNA,shorts,纳粹礼,2025-08-18 18:20:34
10,無知 歷史老師 竟率學生扮納粹 | 台灣蘋果日報,https://www.youtube.com/watch?v=yGMwkFVuEDk&pp=ygUJ57qz57K556S80gcJCa0JAYcqIYzv,yGMwkFVuEDk,watch,纳粹礼,2025-08-18 18:20:34
11,宋建樑戴納粹臂章行納粹禮 德在台協會批無恥,https://www.youtube.com/watch?v=fMgvKKzhPd4&pp=ygUJ57qz57K556S8,fMgvKKzhPd4,watch,纳粹礼,2025-08-18 18:20:34
12,馬斯克行納粹禮非意外？曾表態挺德國極右！美效率部一人當家了...拉馬斯瓦米走人｜非凡財經新聞｜20250121,https://www.youtube.com/watch?v=UwKtJuUAdUY&pp=ygUJ57qz57K556S8,UwKtJuUAdUY,watch,纳粹礼,2025-08-18 18:20:34
13,#川普就職：馬斯克被質疑行#納粹禮,https://www.youtube.com/shorts/UezDyX7Yxj4,UezDyX7Yxj4,shorts,纳粹礼,2025-08-18 18:20:34
14,特朗普就职典礼后 马斯克行纳粹礼了吗？ • RFI 华语 - 法国国际广播电台,https://www.youtube.com/watch?v=XUMun0GVKUA&pp=ygUJ57qz57K556S8,XUMun0GVKUA,watch,纳粹礼,2025-08-18 18:20:34
15,馬斯克現身川普就職活動　疑2度行「納粹禮」惹議｜華視新聞 20250121 @CtsTw,https://www.youtube.com/watch?v=00wOBhXvMC8&pp=ygUJ57qz57K556S8,00wOBhXvMC8,watch,纳粹礼,2025-08-18 18:20:34
16,仿希特勒.揮納粹旗 高中生挨轟,https://www.youtube.com/watch?v=nwAP6ASxMco&pp=ygUJ57qz57K556S80gcJCa0JAYcqIYzv,nwAP6ASxMco,watch,纳粹礼,2025-08-18 18:20:34
17,比擬二戰抗納粹 普丁誓言必取烏戰勝利 TVBS文茜的世界周報-歐洲版 20230204,https://www.youtube.com/watch?v=fGwDSlo2YEE&pp=ygUJ57qz57K556S8,fGwDSlo2YEE,watch,纳粹礼,2025-08-18 18:20:34
18,維州正式立法禁止納粹禮 | SBS中文,https://www.youtube.com/watch?v=TcBsHvH2rys&pp=ygUJ57qz57K556S8,TcBsHvH2rys,watch,纳粹礼,2025-08-18 18:20:34
19,维州首位因行纳粹礼被定罪者获刑一个月 | SBS Mandarin - SBS 普通话电台,https://www.youtube.com/watch?v=Xkx8k0qClN4&pp=ygUJ57qz57K556S8,Xkx8k0qClN4,watch,纳粹礼,2025-08-18 18:20:34
20,澳通过严苛反仇恨犯罪法 行纳粹礼违反者监12个月【2025.02.06 八度空间华语新闻】,https://www.youtube.com/watch?v=2QS3IPVoe6g&pp=ygUJ57qz57K556S8,2QS3IPVoe6g,watch,纳粹礼,2025-08-18 18:20:34
1,憂難逃「種族清洗」命運! 納卡12萬人撤離家園｜TVBS新聞 @TVBSNEWS01,https://www.youtube.com/watch?v=einUWt3nakY&pp=ygUM56eN5peP5riF5rSX0gcJCa0JAYcqIYzv,einUWt3nakY,watch,种族清洗,2025-08-18 18:21:16
2,罗兴亚难民达62万人  缅甸斥责种族清洗论,https://www.youtube.com/watch?v=tOpGs3L3DYg&pp=ygUM56eN5peP5riF5rSX,tOpGs3L3DYg,watch,种族清洗,2025-08-18 18:21:16
3,未阻罗兴亚种族清洗 昂山舒吉遭撤销人权奖,https://www.youtube.com/watch?v=AJRICaOtkK0&pp=ygUM56eN5peP5riF5rSX,AJRICaOtkK0,watch,种族清洗,2025-08-18 18:21:16
4,【滕彪：种族歧视和反人类罪法律后果完全不同】3/27 #时事大家谈​ #精彩点评,https://www.youtube.com/watch?v=GvDr8SKq_6U&pp=ygUM56eN5peP5riF5rSX,GvDr8SKq_6U,watch,种族清洗,2025-08-18 18:21:16
5,人权观察指责缅甸的种族清洗行为,https://www.youtube.com/watch?v=w0gD7uvr3S4&pp=ygUM56eN5peP5riF5rSX,w0gD7uvr3S4,watch,种族清洗,2025-08-18 18:21:16
6,否认屠杀罗兴亚人  缅甸:无种族清洗 [20170411],https://www.youtube.com/watch?v=tQEjAzpWzPs&pp=ygUM56eN5peP5riF5rSX,tQEjAzpWzPs,watch,种族清洗,2025-08-18 18:21:16
7,控伊党代表指槟政府种族清洗  社青团报警 [20160603],https://www.youtube.com/watch?v=VEnKwD6qtdk&pp=ygUM56eN5peP5riF5rSX,VEnKwD6qtdk,watch,种族清洗,2025-08-18 18:21:16
8,伊斯兰国大肆杀戮构成种族灭绝?,https://www.youtube.com/watch?v=eveesoHZEu4&pp=ygUM56eN5peP5riF5rSX,eveesoHZEu4,watch,种族清洗,2025-08-18 18:21:16
9,緬軍鎮壓 羅興亞人控遭種族清洗 20170415 全球現場深度週報,https://www.youtube.com/watch?v=WqVh72dZhro&pp=ygUM56eN5peP5riF5rSX,WqVh72dZhro,watch,种族清洗,2025-08-18 18:21:16
10,【美报告点名新疆种族灭绝 指我国贪污侵犯独立自由】,https://www.youtube.com/watch?v=bJY-_bAuCkI&pp=ygUM56eN5peP5riF5rSX,bJY-_bAuCkI,watch,种族清洗,2025-08-18 18:21:16
11,联合国调查小组：应以种族灭绝罪起诉缅甸军方,https://www.youtube.com/watch?v=jLLsir5O-QE&pp=ygUM56eN5peP5riF5rSX,jLLsir5O-QE,watch,种族清洗,2025-08-18 18:21:16
12,P1 以巴血腥衝突聖城蒙難 種族清洗巴國人民無援？【#寰宇全視界】20210515 @globalnewstw,https://www.youtube.com/watch?v=HE1Drxn0Kbw&pp=ygUM56eN5peP5riF5rSX,HE1Drxn0Kbw,watch,种族清洗,2025-08-18 18:21:16
13,【屠杀亚美尼亚人属种族灭绝  土耳其跳脚谴责美国声明】,https://www.youtube.com/watch?v=MWyf-ehn4Ss&pp=ygUM56eN5peP5riF5rSX0gcJCa0JAYcqIYzv,MWyf-ehn4Ss,watch,种族清洗,2025-08-18 18:21:16
14,2010-03-05 美国之音新闻: 土耳其在种族屠杀决议通过后召回驻美大使,https://www.youtube.com/watch?v=wxUZT5sKfp4&pp=ygUM56eN5peP5riF5rSX,wxUZT5sKfp4,watch,种族清洗,2025-08-18 18:21:16
15,Ethnic Cleansing 种族清洗（英闻解码HD201022）,https://www.youtube.com/watch?v=7XoIXPx2_LE&pp=ygUM56eN5peP5riF5rSX,7XoIXPx2_LE,watch,种族清洗,2025-08-18 18:21:16
16,勿在加沙展开种族清洗 联合国重申支持两国方案【2025.02.06 八度空间午间新闻】,https://www.youtube.com/watch?v=D_hgU6NoeQs&pp=ygUM56eN5peP5riF5rSX,D_hgU6NoeQs,watch,种族清洗,2025-08-18 18:21:16
17,緬甸拒絕接受聯合國對羅興亞人種族清洗調查報告,https://www.youtube.com/watch?v=ehEzDlr-CP8&pp=ygUM56eN5peP5riF5rSX0gcJCa0JAYcqIYzv,ehEzDlr-CP8,watch,种族清洗,2025-08-18 18:21:16
18,特朗普“接管加沙”提议受阻碍  种族清洗风险引争议 | SBS 中文,https://www.youtube.com/watch?v=XctrMStcyEI&pp=ygUM56eN5peP5riF5rSX,XctrMStcyEI,watch,种族清洗,2025-08-18 18:21:16
19,VOA连线：蒂勒森：针对缅甸罗兴亚人暴行是“种族清洗”,https://www.youtube.com/watch?v=66jAmcZu4CI&pp=ygUM56eN5peP5riF5rSX,66jAmcZu4CI,watch,种族清洗,2025-08-18 18:21:16
20,人權觀察指責緬甸的種族清洗行為,https://www.youtube.com/watch?v=tRWJWeqP-Aw&pp=ygUM56eN5peP5riF5rSX,tRWJWeqP-Aw,watch,种族清洗,2025-08-18 18:21:16
1,“有日本网民说南京大屠杀没有发生，糟糕的是有政府官员也这么说。” 看完《南京照相馆》 ，日本博主发声：这种电影应该让所有日本人看到！,https://www.youtube.com/shorts/nJ9PUyKTeBM,nJ9PUyKTeBM,shorts,大屠杀否认,2025-08-18 18:21:58
2,17/10/28【夜問打拳】談南京大屠殺,https://www.youtube.com/watch?v=cSAWm3wcI4A&pp=ygUP5aSn5bGg5p2A5ZCm6K6k,cSAWm3wcI4A,watch,大屠杀否认,2025-08-18 18:21:58
3,日本前國腳為否認南京大屠殺道歉 並曬出史料：自以為懂歷史　後來發現我錯了#中國 #日本 #china #japan #南京大屠殺,https://www.youtube.com/shorts/sHOYaiMP8ow,sHOYaiMP8ow,shorts,大屠杀否认,2025-08-18 18:21:58
4,Facebook to ban Holocaust denial content,https://www.youtube.com/shorts/kSYPAxwLMG8,kSYPAxwLMG8,shorts,大屠杀否认,2025-08-18 18:21:58
5,Protect the Facts ＃國際大屠殺紀念日,https://www.youtube.com/shorts/f4BUC_PBGkg,f4BUC_PBGkg,shorts,大屠杀否认,2025-08-18 18:21:58
6,为什么有一种历史不许怀疑？犹太人大屠杀 @老王特爱聊,https://www.youtube.com/watch?v=mKfAIji_8N4&pp=ygUP5aSn5bGg5p2A5ZCm6K6k0gcJCa0JAYcqIYzv,mKfAIji_8N4,watch,大屠杀否认,2025-08-18 18:21:58
7,Holocaust education should be mandatory in schools,https://www.youtube.com/shorts/G7OlTUFMLx8,G7OlTUFMLx8,shorts,大屠杀否认,2025-08-18 18:21:58
8,南京大屠殺不能忘!!日本罪行.不容否認,https://www.youtube.com/watch?v=ab8qASZ2TjY&pp=ygUP5aSn5bGg5p2A5ZCm6K6k,ab8qASZ2TjY,watch,大屠杀否认,2025-08-18 18:21:58
9,VOA连线：南京大屠杀申遗成功，日本拒交联合国会费以示抗议？,https://www.youtube.com/watch?v=Umi8HciFt68&pp=ygUP5aSn5bGg5p2A5ZCm6K6k,Umi8HciFt68,watch,大屠杀否认,2025-08-18 18:21:58
10,【飞碟头条】75 日本为何否认南京大屠杀,https://www.youtube.com/watch?v=2EyVXdqE5eo&pp=ygUP5aSn5bGg5p2A5ZCm6K6k,2EyVXdqE5eo,watch,大屠杀否认,2025-08-18 18:21:58
11,袁腾飞视频：日本右翼不承认南京大屠杀的原因,https://www.youtube.com/watch?v=GpY2AwQaTjg&pp=ygUP5aSn5bGg5p2A5ZCm6K6k,GpY2AwQaTjg,watch,大屠杀否认,2025-08-18 18:21:58
12,Leopold II was a horrible person #history #response,https://www.youtube.com/shorts/CkXTaPPZx0k,CkXTaPPZx0k,shorts,大屠杀否认,2025-08-18 18:21:58
13,日本投降77周年　南京大屠殺倖存者：「永遠不要忘記歷史」,https://www.youtube.com/watch?v=mBEChWw85AU&pp=ygUP5aSn5bGg5p2A5ZCm6K6k,mBEChWw85AU,watch,大屠杀否认,2025-08-18 18:21:58
14,德国法院：“纳粹奶奶否认纳粹大屠杀”不属言论自由,https://www.youtube.com/watch?v=bDtviMX4_-s&pp=ygUP5aSn5bGg5p2A5ZCm6K6k,bDtviMX4_-s,watch,大屠杀否认,2025-08-18 18:21:58
15,曾是纳粹起源地的德国：对否认大屠杀的人是如何惩治的？,https://www.youtube.com/watch?v=-juTT1TN4FQ&pp=ygUP5aSn5bGg5p2A5ZCm6K6k,-juTT1TN4FQ,watch,大屠杀否认,2025-08-18 18:21:58
16,锵锵三人行20170222日本APA酒店否认南京大屠杀（李小牧刘少华）,https://www.youtube.com/watch?v=MQMKmMayd3s&pp=ygUP5aSn5bGg5p2A5ZCm6K6k,MQMKmMayd3s,watch,大屠杀否认,2025-08-18 18:21:58
17,日本前國腳本田圭佑為否認南京大屠殺道歉，稱查閱大量資料后改變了自己的看法，并曬出大段文獻科普日軍罪行。#本田圭佑 #南京大屠殺 #道歉,https://www.youtube.com/shorts/azZGaN0JsOM,azZGaN0JsOM,shorts,大屠杀否认,2025-08-18 18:21:58
18,白话天下：高校老师否定南京大屠杀人数，我想让她滚蛋！,https://www.youtube.com/watch?v=FCR66dYAYJs&pp=ygUP5aSn5bGg5p2A5ZCm6K6k0gcJCa0JAYcqIYzv,FCR66dYAYJs,watch,大屠杀否认,2025-08-18 18:21:58
19,VOA连线远藤誉: 日本学者谈日本主流社会对二战和侵华战争的看法,https://www.youtube.com/watch?v=UM93LeT4G8Y&pp=ygUP5aSn5bGg5p2A5ZCm6K6k,UM93LeT4G8Y,watch,大屠杀否认,2025-08-18 18:21:58
20,Hate destroys the Hater more than the Hated #shorts,https://www.youtube.com/shorts/ma68CWzywCc,ma68CWzywCc,shorts,大屠杀否认,2025-08-18 18:21:58
1,是吉祥的符號？還是邪惡的象徵？卍為何能同時觸動東西方民族最敏感的神經？｜志祺七七,https://www.youtube.com/watch?v=2OVXmy4r-a4&pp=ygUJ5LiH5a2X5peX,2OVXmy4r-a4,watch,万字旗,2025-08-18 18:22:38
2,希特勒万字旗的玄学应用错误,https://www.youtube.com/watch?v=hPki-Zdmeng&pp=ygUJ5LiH5a2X5peX,hPki-Zdmeng,watch,万字旗,2025-08-18 18:22:38
3,The Truth about the Rising Sun Flag,https://www.youtube.com/watch?v=MXr9PXWCGwo&pp=ygUJ5LiH5a2X5peX,MXr9PXWCGwo,watch,万字旗,2025-08-18 18:22:38
4,"台湾国民党否决覆议案,蓝鹰行动手持纳粹旗帜 #2024 #国民党#纳粹卐字旗#恶魔象征",https://www.youtube.com/shorts/N7uVpXVkhRM,N7uVpXVkhRM,shorts,万字旗,2025-08-18 18:22:38
5,swastik से झांसी की रानी drawing easy - Kabhi yaad #shorts #jhansikiraani #independencedaystatus,https://www.youtube.com/shorts/ur_nV8bX1e0,ur_nV8bX1e0,shorts,万字旗,2025-08-18 18:22:38
6,南极洲升起万字旗，世界尽头的冷战博弈【TNO·人旗国百科】深冻行动（剧情背景设定介绍）,https://www.youtube.com/watch?v=liZthimp7qY&pp=ygUJ5LiH5a2X5peX,liZthimp7qY,watch,万字旗,2025-08-18 18:22:38
7,Germany's New Colours (1933),https://www.youtube.com/watch?v=ah3dmvStVds&pp=ygUJ5LiH5a2X5peX,ah3dmvStVds,watch,万字旗,2025-08-18 18:22:38
8,Masked 'neo-nazi' group chants 'white power' while marching through Harrisburg with Swastika flags,https://www.youtube.com/shorts/yzWdbpz037Y,yzWdbpz037Y,shorts,万字旗,2025-08-18 18:22:38
9,Reported 'group of neo-Nazis carrying swastika flags' being investigated by City of Harrisburg,https://www.youtube.com/shorts/dTVDiclxSmU,dTVDiclxSmU,shorts,万字旗,2025-08-18 18:22:38
10,"Neo-Nazi group parades in downtown Columbus, carrying flags bearing swastikas",https://www.youtube.com/shorts/2HfVf810evQ,2HfVf810evQ,shorts,万字旗,2025-08-18 18:22:38
11,Swastik से flag salute drawing banana sikhe #shorts#youtube_shorts,https://www.youtube.com/shorts/O-AP7cliouQ,O-AP7cliouQ,shorts,万字旗,2025-08-18 18:22:38
12,Business owner defends Nazi flag sale,https://www.youtube.com/watch?v=i5eC67vxjIY&pp=ygUJ5LiH5a2X5peX,i5eC67vxjIY,watch,万字旗,2025-08-18 18:22:38
13,How to write Manji | It means peace and prosperity in Japanese | It’s not a swastika,https://www.youtube.com/shorts/o0Pqxyd-6Sk,o0Pqxyd-6Sk,shorts,万字旗,2025-08-18 18:22:38
14,🇮🇳 tricolor make swastik with icecream stick #youtubeshorts #flag #viral,https://www.youtube.com/shorts/J2PPKjgDqks,J2PPKjgDqks,shorts,万字旗,2025-08-18 18:22:38
